2024-10-11 02:07:57 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-10-11 02:07:57 install mount:arm64 <none> 2.39.3-9ubuntu6
2024-10-11 02:07:57 status half-installed mount:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:57 status unpacked mount:arm64 2.39.3-9ubuntu6
2024-10-11 02:07:58 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2024-10-11 02:07:58 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-10-11 02:07:58 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-10-11 02:07:58 install ncurses-bin:arm64 <none> 6.4+20240113-1ubuntu2
2024-10-11 02:07:58 status half-installed ncurses-bin:arm64 6.4+20240113-1ubuntu2
2024-10-11 02:07:58 status unpacked ncurses-bin:arm64 6.4+20240113-1ubuntu2
2024-10-11 02:07:58 install passwd:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2024-10-11 02:07:58 status half-installed passwd:arm64 1:4.13+dfsg1-4ubuntu3
2024-10-11 02:07:58 status unpacked passwd:arm64 1:4.13+dfsg1-4ubuntu3
2024-10-11 02:07:58 upgrade perl-base:arm64 5.38.2-3.2build2 5.38.2-3.2build2
2024-10-11 02:07:58 status half-configured perl-base:arm64 5.38.2-3.2build2
2024-10-11 02:07:58 status unpacked perl-base:arm64 5.38.2-3.2build2
2024-10-11 02:07:58 status half-installed perl-base:arm64 5.38.2-3.2build2
2024-10-11 02:07:58 status unpacked perl-base:arm64 5.38.2-3.2build2
2024-10-11 02:07:58 install procps:arm64 <none> 2:4.0.4-4ubuntu3
2024-10-11 02:07:58 status half-installed procps:arm64 2:4.0.4-4ubuntu3
2024-10-11 02:07:58 status unpacked procps:arm64 2:4.0.4-4ubuntu3
2024-10-11 02:07:58 install sed:arm64 <none> 4.9-2build1
2024-10-11 02:07:58 status half-installed sed:arm64 4.9-2build1
2024-10-11 02:07:58 status unpacked sed:arm64 4.9-2build1
2024-10-11 02:07:58 install sensible-utils:all <none> 0.0.22
2024-10-11 02:07:58 status half-installed sensible-utils:all 0.0.22
2024-10-11 02:07:58 status unpacked sensible-utils:all 0.0.22
2024-10-11 02:07:58 install sysvinit-utils:arm64 <none> 3.08-6ubuntu3
2024-10-11 02:07:58 status half-installed sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-11 02:07:58 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-11 02:07:58 install tar:arm64 <none> 1.35+dfsg-3build1
2024-10-11 02:07:58 status half-installed tar:arm64 1.35+dfsg-3build1
2024-10-11 02:07:58 status unpacked tar:arm64 1.35+dfsg-3build1
2024-10-11 02:07:58 install util-linux:arm64 <none> 2.39.3-9ubuntu6
